scenario,time,PWA to jobs,PWA to pop
S1,10,16844,9948
S1,20,95713,60706
S1,30,230700,160341
S1,40,391891,294504
S1,50,537699,439185
S1,60,639981,577902
S2,10,10089,7840
S2,20,66031,51455
S2,30,205003,151838
S2,40,414467,313262
S2,50,591412,487907
S2,60,697316,640775
S3,10,8735,6255
S3,20,31665,24554
S3,30,75899,57927
S3,40,145720,108863
S3,50,231896,180741
S3,60,316243,261689
S4,10,8997,6355
S4,20,47580,29861
S4,30,149605,89850
S4,40,297140,191208
S4,50,424830,308456
S4,60,521350,416813
S5,10,17020,10039
S5,20,102639,64105
S5,30,266162,181280
S5,40,470314,349937
S5,50,625275,522374
S5,60,714656,663772
S6,10,17381,10767
S6,20,106036,71219
S6,30,276685,198552
S6,40,488683,380697
S6,50,648260,559710
S6,60,729471,698208